Incidence Rate Report for Illinois by County,,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Cancer Sites (All Stages^), 2018-2022",,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,,,,
,,,,,,,,,,,,,
Sorted by Rate,,,,,,,,,,,,,
,,,,,,,,,,,,,
County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Schuyler County(7),17169,Rural,485.6,426.3,552,55,3,101,53,rising,1.2,0.1,2.4
Carroll County(7),17015,Rural,484.8,444.2,528.6,56,12,97,120,stable,-0.3,-1.3,0.7
Warren County(7),17187,Rural,483.4,442,527.8,57,12,97,111,stable,-0.3,-1.4,0.9
Randolph County(7),17157,Rural,482.6,452.8,514.1,59,20,91,211,stable,0.3,-0.4,1
Hardin County(7),17069,Rural,482.2,400.7,578,58,1,102,31,stable,-0.4,-1.8,0.9
Stark County(7),17175,Urban,481.6,413.7,558.8,60,2,102,40,stable,-0.5,-1.7,0.8
Henry County(7),17073,Urban,479.9,456.4,504.4,61,27,89,342,stable,-0.3,-0.7,0.1
Whiteside County(7),17195,Rural,479,457,502,62,27,87,391,stable,-0.1,-0.7,0.5
Will County(7),17197,Urban,477.1,470.1,484.2,63,48,74,3696,falling,-0.3,-0.6,-0.1
Lake County(7),17097,Urban,476,469.2,482.9,64,49,75,3941,stable,0.9,0,2
Kendall County(7),17093,Urban,475.8,458.2,493.9,65,34,86,587,stable,-0.2,-0.6,0.3
Hancock County(7),17067,Rural,474.3,435.9,515.6,66,16,98,130,stable,0,-0.8,0.8
Lee County(7),17103,Rural,473.9,445.7,503.6,68,27,95,231,stable,-0.4,-0.8,0
Piatt County(7),17147,Urban,473.5,433.3,516.6,67,18,100,113,stable,0,-0.7,0.7
Putnam County(7),17155,Rural,472.6,406.6,547.7,69,3,102,42,stable,-1.3,-2.5,0
Knox County(7),17095,Rural,471,447.7,495.4,70,30,92,342,stable,-0.1,-0.5,0.3
Johnson County(7),17087,Rural,469.2,425.2,517,71,15,100,88,stable,-0.8,-1.5,0
Livingston County(7),17105,Rural,469,441.5,497.9,72,29,96,234,falling,-3.2,-7.7,-0.5
Champaign County(7),17019,Urban,467.2,453.7,481,73,49,88,957,stable,0.7,0,1.8
Monroe County(7),17133,Urban,460.3,432.2,489.8,74,34,98,218,stable,-0.3,-1.1,0.6
Winnebago County(7),17201,Urban,459.8,449.7,470.1,75,58,88,1681,stable,-0.3,-0.6,0
Wabash County(7),17185,Rural,459.6,412.3,511.2,76,16,101,77,stable,-8.8,-18.1,0.6
Fayette County(7),17051,Rural,458.9,423.8,496.4,77,24,100,132,stable,-0.2,-1,0.6
Kane County(7),17089,Urban,457.4,449.5,465.4,79,64,89,2690,stable,0.5,-0.3,1.9
Cumberland County(7),17035,Rural,456.8,406.5,512.1,78,17,102,67,stable,-0.5,-1.4,0.4
Saline County(7),17165,Rural,454.6,421.9,489.5,80,33,100,155,falling,-6.9,-12.3,-0.7
McDonough County(7),17109,Rural,454.3,421.2,489.3,82,32,100,156,stable,0.1,-0.6,0.8
DuPage County(7),17043,Urban,454.1,448.4,459.8,81,68,89,5211,falling,-0.3,-0.6,-0.1
Gallatin County(7),17059,Rural,453.8,384.8,533.2,83,4,102,35,falling,-1.5,-2.5,-0.6
Henderson County(7),17071,Rural,452.6,394.8,518.1,84,9,102,51,stable,0.3,-0.7,1.4
Stephenson County(7),17177,Rural,447.8,423.9,472.7,85,53,99,305,stable,0,-0.4,0.4
Edgar County(7),17045,Rural,447.4,409,488.8,87,29,101,115,falling,-1.1,-2,-0.1
Richland County(7),17159,Rural,447.4,408,489.8,86,27,101,103,stable,-0.1,-1.1,1
Coles County(7),17029,Rural,446,421.5,471.6,88,49,99,268,falling,-5.5,-9.8,-0.8
Boone County(7),17007,Urban,444.4,421.3,468.4,89,50,99,292,stable,-0.2,-0.6,0.2
Rock Island County(7),17161,Urban,441.9,428.4,455.8,90,70,98,876,falling,-0.7,-1.1,-0.4
Massac County(7),17127,Urban,435,394,479.6,91,34,102,91,stable,-0.3,-1.5,0.9
Cook County(7),17031,Urban,435,432.6,437.4,92,83,97,26413,stable,-0.5,-0.9,0.3
Edwards County(7),17047,Rural,434.5,372.3,505.1,93,15,102,39,stable,-0.9,-2.3,0.5
Jo Daviess County(7),17085,Rural,433.5,401,468.4,94,51,102,169,stable,-0.4,-1.3,0.5
McLean County(7),17113,Urban,428.8,415.1,442.8,95,80,100,778,falling,-1.1,-2.1,-0.8
Crawford County(7),17033,Rural,427.4,391.7,465.8,96,49,102,113,falling,-14.4,-21,-4.8
Wayne County(7),17191,Rural,421.4,384.5,461.3,97,56,102,105,stable,-0.5,-1.6,0.6
